"Award","Type","Country","Year of award ceremony","Category","date_awarded","winner","source"
"Oscars","Industry","USA","2014","Best Documentary Feature Film","2014-03-02","20 Feet from Stardom","https://www.oscars.org/oscars/ceremonies/2014"
"Oscars","Industry","USA","2015","Best Documentary Feature Film","2015-02-22","CitizenFour","https://www.oscars.org/oscars/ceremonies/2015"
"Oscars","Industry","USA","2016","Best Documentary Feature Film","2016-02-28","Amy","https://www.oscars.org/oscars/ceremonies/2016"
"Oscars","Industry","USA","2017","Best Documentary Feature Film","2017-02-26","O.J.: Made in America","https://www.oscars.org/oscars/ceremonies/2017"
"Oscars","Industry","USA","2018","Best Documentary Feature Film","2018-03-04","Icarus","https://www.oscars.org/oscars/ceremonies/2018"
"Oscars","Industry","USA","2019","Best Documentary Feature Film","2019-02-24","Free Solo","https://www.oscars.org/oscars/ceremonies/2019"
"Oscars","Industry","USA","2020","Best Documentary Feature Film","2020-02-09","American Factory","https://www.oscars.org/oscars/ceremonies/2020"
"Oscars","Industry","USA","2021","Best Documentary Feature Film","2021-04-25","My Octopus Teacher","https://www.oscars.org/oscars/ceremonies/2021"
"Oscars","Industry","USA","2022","Best Documentary Feature Film","2022-03-27","Summer of Soul (...Or, When the Revolution Could Not Be Televised)","https://www.oscars.org/oscars/ceremonies/2022"
"Oscars","Industry","USA","2023","Best Documentary Feature Film","2023-03-12","Navalny","https://www.oscars.org/oscars/ceremonies/2023"
"Oscars","Industry","USA","2024","Best Documentary Feature Film","2024-03-10","20 Days in Mariupol","https://www.oscars.org/oscars/ceremonies/2024"
"Oscars","Industry","USA","2025","Best Documentary Feature Film","2025-03-02","No Other Land","https://abcnews.com/GMA/Culture/land-wins-oscar-best-documentary-feature-film/story?id=119232532"
"Oscars","Industry","USA","2026","Best Documentary Feature Film","","",""
"Oscars","Industry","USA","2000","Best Animated Short Film","2000-03-26","The Old Man and the Sea","https://www.oscars.org/oscars/ceremonies/2000"
"Oscars","Industry","USA","2001","Best Animated Short Film","2001-03-25","Father and Daughter","https://www.oscars.org/oscars/ceremonies/2001"
"Oscars","Industry","USA","2002","Best Animated Short Film","2002-03-24","For the Birds","https://www.oscars.org/oscars/ceremonies/2002"
"Oscars","Industry","USA","2003","Best Animated Short Film","2003-03-23","The ChubbChubbs! (Eric Armstrong)","https://www.oscars.org/oscars/ceremonies/2003"
"Oscars","Industry","USA","2004","Best Animated Short Film","2004-02-29","Harvie Krumpet","https://www.oscars.org/oscars/ceremonies/2004"
"Oscars","Industry","USA","2005","Best Animated Short Film","2005-02-27","Ryan (Chris Landreth)","https://www.oscars.org/oscars/ceremonies/2005"
"Oscars","Industry","USA","2006","Best Animated Short Film","2006-03-05","The Moon and the Son: An Imagined Conversation (John Canemaker and Peggy Stern)","https://www.oscars.org/oscars/ceremonies/2006"
"Oscars","Industry","USA","2007","Best Animated Short Film","2007-02-25","The Danish Poet","https://www.oscars.org/oscars/ceremonies/2007"
"Oscars","Industry","USA","2008","Best Animated Short Film","2008-02-24","Peter & the Wolf","https://www.oscars.org/oscars/ceremonies/2008"
"Oscars","Industry","USA","2009","Best Animated Short Film","2009-02-22","La Maison en Petits Cubes","https://www.oscars.org/oscars/ceremonies/2009"
"Oscars","Industry","USA","2010","Best Animated Short Film","March 7, 2010","Logorama","https://www.oscars.org/oscars/ceremonies/2010"
"Oscars","Industry","USA","2011","Best Animated Short Film","2011-02-27","The Lost Thing","https://en.wikipedia.org/wiki/83rd_Academy_Awards"
"Oscars","Industry","USA","2012","Best Animated Short Film","2012-02-26","The Fantastic Flying Books of Mr. Morris Lessmore","https://www.oscars.org/oscars/ceremonies/2012"
"Oscars","Industry","USA","2013","Best Animated Short Film","2013-02-24","Paperman","https://www.oscars.org/oscars/ceremonies/2013"
"Oscars","Industry","USA","2014","Best Animated Short Film","2014-03-02","Mr. Hublot","https://www.oscars.org/oscars/ceremonies/2014"
